Entities,Assignee,Team
CREDIT_CARD,Blongtato,Catalyst
CRYPTO,TheodoreChavis,Catalyst
DATE_TIME,Amonaay1,Catalyst
EMAIL_ADDRESS,blujay2005,Catalyst
MEDICAL_LICENSE,tjross28,Catalyst
,,
IP_ADDRESS,msbelewa1,MOSES
IT_DRIVER_LICENSE,sydneyalicia,MOSES
IT_FISCAL_CODE,aaokoro,MOSES
IT_IDENTITY_CARD,zyarianesbitt,MOSES
IT_PASSPORT,hnwalker23,MOSES
,,
IT_VAT_CODE,kayrichie05,TeamA
URL,melo-fel,TeamA
US_BANK_NUMBER,MatthewR863,TeamA
US_DRIVER_LICENSE,vswaby-maker,TeamA
US_ITIN,DarylWM18,TeamA
US_PASSPORT,Marcus8765,TeamA
,,
PHONE_NUMBER,arefeh5,TeamZ
LOCATION,azaleabolden,TeamZ
PERSON,premaGammon,TeamZ
UK_NHS,kelvinquaicoe,TeamZ
UK_NINO,Anson-ctrl,TeamZ
,,
US_SSN,claesmk,Null
